date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2019/1/2,2497.88,2500.28,2465.29,2456.42,1099320.12,-28.61,-1.15,2489.078,2515.113,2541.36,1228108.57,1172327.01,1207063.69
2019/1/3,2461.78,2488.48,2464.36,2455.93,1243975,-0.93,-0.04,2480.986,2503.884,2536.227,1195562.45,1179691.14,1209524.44
2019/1/4,2446.02,2515.32,2514.87,2440.91,1688776.62,50.51,2.05,2484.302,2500.415,2534.892,1315718.52,1240907,1239477.7
2019/1/7,2528.7,2536.98,2533.09,2515.51,1773050.12,18.22,0.72,2494.302,2500.097,2534.786,1399514.87,1297645.51,1270864.32
2019/1/8,2530.3,2531.35,2526.46,2520.16,1580991.75,-6.63,-0.26,2500.814,2501.118,2534.323,1477222.72,1340073.49,1288093.62
2019/1/9,2536.42,2574.41,2544.34,2536.16,1918879.25,17.88,0.71,2516.624,2502.851,2534.851,1641134.55,1434621.56,1321292.86
2019/1/10,2543.85,2551.83,2535.1,2531.66,1598743.25,-9.24,-0.36,2530.772,2505.879,2534.863,1712088.2,1453825.32,1335165.38
2019/1/11,2539.55,2554.79,2553.83,2533.36,1494441,18.73,0.74,2538.564,2511.433,2532.447,1673221.07,1494469.8,1358128.28
2019/1/14,2553.33,2556.29,2535.77,2533.01,1448254.62,-18.06,-0.71,2539.1,2516.701,2527.533,1608261.97,1503888.42,1355171.96
2019/1/15,2537.37,2571.5,2570.34,2532.43,1602655.25,34.57,1.36,2547.876,2524.345,2526.363,1612594.67,1544908.7,1362333.47
2019/1/16,2569.07,2574.24,2570.42,2563.01,1493015.38,0.08,0,2553.092,2534.858,2524.986,1527421.9,1584278.22,1378302.62
2019/1/17,2573.58,2582.56,2559.64,2557.71,1624681.38,-10.78,-0.42,2558,2544.386,2524.135,1532609.53,1622348.86,1401020
2019/1/18,2567.74,2598.88,2596.01,2565.9,1907672.38,36.37,1.42,2566.436,2552.5,2526.458,1615255.8,1644238.44,1442572.72
2019/1/21,2599.06,2618.98,2610.51,2599.06,1634251.12,14.5,0.56,2581.384,2560.242,2530.17,1652455.1,1630358.54,1464002.02
2019/1/22,2609.64,2609.64,2579.7,2573.06,1525377.75,-30.81,-1.18,2583.256,2565.566,2533.342,1636999.6,1624797.14,1482435.31
2019/1/23,2575.26,2589.51,2581,2572.41,1314268,1.3,0.05,2585.372,2569.232,2536.042,1601250.13,1564336.01,1499478.79
